App,Meal,Metric,PE
NutriAI-Photo+ Audio Input,8,Proteins,0.0
Nutri AI-Photo input only,8,Proteins,-14.285714285714285
arise,8,Proteins,25.0
Calorix AI,8,Proteins,-21.428571428571427
Calorie Cue AI,8,Proteins,17.857142857142858
NutriAI-Photo+ Audio Input,9,Proteins,5.88235294117647
Nutri AI-Photo input only,9,Proteins,111.76470588235294
arise,9,Proteins,123.52941176470588
Calorix AI,9,Proteins,82.35294117647058
Calorie Cue AI,9,Proteins,41.17647058823529
NutriAI-Photo+ Audio Input,10,Proteins,-6.666666666666667
Nutri AI-Photo input only,10,Proteins,-6.666666666666667
arise,10,Proteins,40.0
Calorix AI,10,Proteins,0.0
Calorie Cue AI,10,Proteins,13.333333333333334
NutriAI-Photo+ Audio Input,1,Fats,38.46153846153847
Nutri AI-Photo input only,1,Fats,7.6923076923076925
arise,1,Fats,130.76923076923077
Calorix AI,1,Fats,69.23076923076923
Calorie Cue AI,1,Fats,7.6923076923076925
NutriAI-Photo+ Audio Input,2,Fats,175.0
Nutri AI-Photo input only,2,Fats,125.0
arise,2,Fats,162.5
Calorix AI,2,Fats,125.0
Calorie Cue AI,2,Fats,87.5
NutriAI-Photo+ Audio Input,3,Fats,55.55555555555556
Nutri AI-Photo input only,3,Fats,-11.11111111111111
arise,3,Fats,222.22222222222223
Calorix AI,3,Fats,211.11111111111111
Calorie Cue AI,3,Fats,233.33333333333334
NutriAI-Photo+ Audio Input,4,Fats,-66.66666666666666
Nutri AI-Photo input only,4,Fats,-66.66666666666666
arise,4,Fats,33.33333333333333
Calorix AI,4,Fats,0.0
Calorie Cue AI,4,Fats,-75.0
NutriAI-Photo+ Audio Input,5,Fats,266.66666666666663
Nutri AI-Photo input only,5,Fats,66.66666666666666
arise,5,Fats,266.66666666666663
Calorix AI,5,Fats,216.66666666666666
Calorie Cue AI,5,Fats,383.33333333333337
NutriAI-Photo+ Audio Input,6,Fats,0.0
Nutri AI-Photo input only,6,Fats,33.33333333333333
arise,6,Fats,83.33333333333334
Calorix AI,6,Fats,33.33333333333333
Calorie Cue AI,6,Fats,50.0
NutriAI-Photo+ Audio Input,7,Fats,0.0
Nutri AI-Photo input only,7,Fats,33.33333333333333
arise,7,Fats,55.55555555555556
Calorix AI,7,Fats,55.55555555555556
Calorie Cue AI,7,Fats,66.66666666666666
NutriAI-Photo+ Audio Input,8,Fats,20.0
Nutri AI-Photo input only,8,Fats,-40.0
arise,8,Fats,540.0
Calorix AI,8,Fats,260.0
Calorie Cue AI,8,Fats,60.0
NutriAI-Photo+ Audio Input,9,Fats,-15.789473684210526
Nutri AI-Photo input only,9,Fats,47.368421052631575
arise,9,Fats,21.052631578947366
Calorix AI,9,Fats,42.10526315789473
Calorie Cue AI,9,Fats,0.0
NutriAI-Photo+ Audio Input,10,Fats,-27.27272727272727
Nutri AI-Photo input only,10,Fats,-54.54545454545454
arise,10,Fats,-36.36363636363637
Calorix AI,10,Fats,-36.36363636363637
Calorie Cue AI,10,Fats,-31.818181818181817
